Timestamp,Obj_Type,Obj_Radius,Ball_X,Ball_Y,Ball_Z,Palm_X,Palm_Y,Palm_Z,Palm_Rx,Palm_Ry,Palm_Rz,J0,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15
1774347886.3423827,sphere,0.033,-0.71702,0.11882,0.16200,-0.71702,0.11882,0.50782,-1.21886,-1.20267,1.22502,0.0000,0.1227,0.0921,0.0716,0.0000,0.1464,0.1098,0.0854,0.0000,0.1886,0.1414,0.1100,0.4505,0.0627,0.1255,0.1098
1774348099.49124,sphere,0.033,-0.74036,0.15814,0.16200,-0.74036,0.15814,0.46987,-1.21825,-1.50289,1.22525,0.0000,0.0974,0.0730,0.0568,0.0000,0.1385,0.1039,0.0808,0.0000,0.1505,0.1129,0.0878,0.4486,0.0523,0.1047,0.0916
1774348130.5172405,sphere,0.033,-0.71115,0.23062,0.16200,-0.71115,0.23062,0.45916,-1.21825,-1.83289,1.22525,0.0000,0.1313,0.0985,0.0766,0.0000,0.1464,0.1098,0.0854,0.0000,0.1872,0.1404,0.1092,0.4775,0.0569,0.1138,0.0996
1774348186.7336576,sphere,0.033,-0.83942,0.12661,0.16200,-0.83942,0.12661,0.45263,-1.21829,-1.20318,1.22517,0.0000,0.1203,0.0903,0.0702,0.0000,0.1471,0.1103,0.0858,0.0000,0.1697,0.1273,0.0990,0.4594,0.0535,0.1070,0.0936
1774348210.532228,sphere,0.033,-0.85881,0.13123,0.16200,-0.85881,0.13123,0.46518,-1.21829,-1.80318,1.22517,0.0000,0.1279,0.0959,0.0746,0.0000,0.1783,0.1337,0.1040,0.0000,0.1961,0.1471,0.1144,0.5196,0.0625,0.1250,0.1094
1774348240.7454615,sphere,0.033,-0.73449,0.22230,0.16200,-0.73449,0.22230,0.46704,-1.21822,-0.57322,1.22499,0.0000,0.1203,0.0903,0.0702,0.0000,0.1615,0.1211,0.0942,0.0000,0.1803,0.1353,0.1052,0.2881,0.0554,0.1109,0.0970
1774348257.6223834,sphere,0.033,-0.66339,0.15706,0.16200,-0.66339,0.15706,0.50794,-1.21845,-1.20270,1.22547,0.0000,0.1094,0.0820,0.0638,0.0000,0.1289,0.0967,0.0752,0.0000,0.1783,0.1337,0.1040,0.4270,0.0551,0.1102,0.0964
1774348267.041025,sphere,0.033,-0.63379,0.15306,0.16200,-0.63379,0.15306,0.50794,-1.21845,-1.20270,1.22547,0.0000,0.1087,0.0815,0.0634,0.0000,0.1433,0.1075,0.0836,0.0000,0.1872,0.1404,0.1092,0.4463,0.0643,0.1287,0.1126
1774348280.3552473,sphere,0.033,-0.78819,0.15306,0.16200,-0.78819,0.15306,0.45034,-1.21845,-1.20270,1.22547,0.0000,0.1056,0.0792,0.0616,0.0000,0.1512,0.1134,0.0882,0.0000,0.1639,0.1229,0.0956,0.4798,0.0529,0.1058,0.0926
1774348288.9798622,sphere,0.033,-0.75139,0.17786,0.16200,-0.75139,0.17786,0.45034,-1.21845,-1.20270,1.22547,0.0000,0.1241,0.0931,0.0724,0.0000,0.1533,0.1149,0.0894,0.0000,0.1707,0.1281,0.0996,0.4872,0.0573,0.1145,0.1002
